time,temperature_2m,wind_speed_10m,wind_direction_10m,weather_code,precipitation,weather_icon
2026-03-10 00:00:00,17.5,7.84,11,3,0.0,🌤️
2026-03-10 01:00:00,17.5,7.62,14,3,0.0,🌤️
2026-03-10 02:00:00,17.5,6.93,20,3,0.0,🌤️
2026-03-10 03:00:00,18.0,6.93,20,3,0.0,🌤️
2026-03-10 04:00:00,17.8,7.62,19,3,0.0,🌤️
2026-03-10 05:00:00,17.7,7.72,19,3,0.0,🌤️
2026-03-10 06:00:00,17.4,7.87,18,3,0.0,🌤️
2026-03-10 07:00:00,17.0,7.43,20,3,0.0,🌤️
2026-03-10 08:00:00,17.0,6.61,20,3,0.1,🌤️
2026-03-10 09:00:00,17.4,6.65,21,3,0.0,🌤️
2026-03-10 10:00:00,17.2,6.67,24,3,0.0,🌤️
2026-03-10 11:00:00,17.4,6.71,27,3,0.0,🌤️
2026-03-10 12:00:00,17.5,6.86,31,3,0.0,🌤️
2026-03-10 13:00:00,17.5,6.55,34,3,0.0,🌤️
2026-03-10 14:00:00,17.5,6.16,36,2,0.0,🌤️
2026-03-10 15:00:00,17.9,5.66,32,3,0.0,🌤️
2026-03-10 16:00:00,17.8,5.63,33,3,0.0,🌤️
2026-03-10 17:00:00,17.6,5.5,37,2,0.0,🌤️
2026-03-10 18:00:00,17.6,5.17,41,2,0.0,🌤️
2026-03-10 19:00:00,17.7,4.67,45,2,0.0,🌤️
2026-03-10 20:00:00,17.9,4.36,53,3,0.0,🌤️
2026-03-10 21:00:00,17.6,4.57,61,3,0.0,🌤️
2026-03-10 22:00:00,17.5,4.4,69,3,0.0,🌤️
2026-03-10 23:00:00,17.6,3.76,73,2,0.0,🌤️
2026-03-11 00:00:00,17.7,3.71,76,3,0.0,🌤️
2026-03-11 01:00:00,17.7,3.81,76,2,0.0,🌤️
2026-03-11 02:00:00,17.7,3.35,73,2,0.0,🌤️
2026-03-11 03:00:00,17.9,3.13,63,1,0.0,🌤️
2026-03-11 04:00:00,17.6,3.72,59,2,0.0,🌤️
2026-03-11 05:00:00,17.3,4.02,63,2,0.0,🌤️
2026-03-11 06:00:00,17.6,3.96,69,1,0.0,🌤️
2026-03-11 07:00:00,17.8,3.67,79,1,0.0,🌤️
2026-03-11 08:00:00,18.0,3.42,83,0,0.0,☀️
2026-03-11 09:00:00,18.4,2.91,86,0,0.0,☀️
2026-03-11 10:00:00,18.6,2.65,79,0,0.0,☀️
2026-03-11 11:00:00,19.0,2.44,71,0,0.0,☀️
2026-03-11 12:00:00,19.1,2.47,69,0,0.0,☀️
2026-03-11 13:00:00,19.3,2.42,66,0,0.0,☀️
2026-03-11 14:00:00,19.5,2.61,58,0,0.0,☀️
2026-03-11 15:00:00,19.5,2.62,43,0,0.0,☀️
2026-03-11 16:00:00,19.5,2.37,28,0,0.0,☀️
2026-03-11 17:00:00,19.5,2.47,32,0,0.0,☀️
2026-03-11 18:00:00,19.2,2.92,38,1,0.0,🌤️
2026-03-11 19:00:00,19.0,2.9,46,2,0.0,🌤️
2026-03-11 20:00:00,19.1,2.92,68,2,0.0,🌤️
