time,temperature_2m,wind_speed_10m,wind_direction_10m,weather_code,precipitation,weather_icon
2026-03-10 00:00:00,6.0,1.26,342,2,0.0,🌤️
2026-03-10 01:00:00,5.0,1.71,339,53,0.5,☔
2026-03-10 02:00:00,3.4,2.38,338,51,0.1,☔
2026-03-10 03:00:00,3.1,2.35,348,1,0.0,🌤️
2026-03-10 04:00:00,2.9,2.33,350,1,0.0,🌤️
2026-03-10 05:00:00,2.6,2.12,352,1,0.0,🌤️
2026-03-10 06:00:00,2.8,2.22,352,1,0.0,🌤️
2026-03-10 07:00:00,2.5,2.42,353,51,0.2,☔
2026-03-10 08:00:00,2.5,2.62,7,51,0.1,☔
2026-03-10 09:00:00,2.2,2.51,5,3,0.0,🌤️
2026-03-10 10:00:00,2.9,2.22,8,53,0.5,☔
2026-03-10 11:00:00,3.2,1.92,351,53,0.8,☔
2026-03-10 12:00:00,4.6,2.06,14,51,0.4,☔
2026-03-10 13:00:00,5.4,2.28,29,2,0.0,🌤️
2026-03-10 14:00:00,6.0,2.41,42,1,0.0,🌤️
2026-03-10 15:00:00,6.8,2.19,43,0,0.0,☀️
2026-03-10 16:00:00,6.9,1.91,43,0,0.0,☀️
2026-03-10 17:00:00,6.5,1.63,43,0,0.0,☀️
2026-03-10 18:00:00,5.8,1.04,17,1,0.0,🌤️
2026-03-10 19:00:00,5.4,1.8,341,1,0.0,🌤️
2026-03-10 20:00:00,4.4,2.16,347,0,0.0,☀️
2026-03-10 21:00:00,3.7,1.92,351,0,0.0,☀️
2026-03-10 22:00:00,3.2,2.04,349,0,0.0,☀️
2026-03-10 23:00:00,2.8,1.82,351,0,0.0,☀️
2026-03-11 00:00:00,2.3,1.4,360,0,0.0,☀️
2026-03-11 01:00:00,1.8,1.12,10,0,0.0,☀️
2026-03-11 02:00:00,1.5,1.14,15,0,0.0,☀️
2026-03-11 03:00:00,1.2,1.17,20,0,0.0,☀️
2026-03-11 04:00:00,1.1,1.12,27,0,0.0,☀️
2026-03-11 05:00:00,1.0,1.25,29,0,0.0,☀️
2026-03-11 06:00:00,0.7,1.21,24,0,0.0,☀️
2026-03-11 07:00:00,1.2,1.21,24,0,0.0,☀️
2026-03-11 08:00:00,2.8,1.46,16,0,0.0,☀️
2026-03-11 09:00:00,4.3,1.51,8,0,0.0,☀️
2026-03-11 10:00:00,5.5,0.95,18,0,0.0,☀️
2026-03-11 11:00:00,6.6,0.63,72,0,0.0,☀️
2026-03-11 12:00:00,7.7,0.7,90,0,0.0,☀️
2026-03-11 13:00:00,8.6,0.73,106,0,0.0,☀️
2026-03-11 14:00:00,9.2,0.89,117,0,0.0,☀️
2026-03-11 15:00:00,9.5,1.0,127,0,0.0,☀️
2026-03-11 16:00:00,9.4,1.14,142,0,0.0,☀️
2026-03-11 17:00:00,8.9,0.95,162,1,0.0,🌤️
2026-03-11 18:00:00,8.1,0.51,169,1,0.0,🌤️
2026-03-11 19:00:00,7.2,0.72,214,2,0.0,🌤️
2026-03-11 20:00:00,7.0,1.34,117,1,0.0,🌤️
2026-03-11 21:00:00,6.5,0.89,117,2,0.0,🌤️
2026-03-11 22:00:00,6.2,1.06,49,2,0.0,🌤️
2026-03-11 23:00:00,5.7,0.85,21,2,0.0,🌤️
2026-03-12 00:00:00,5.5,1.04,17,3,0.0,🌤️
2026-03-12 01:00:00,5.2,1.33,13,2,0.0,🌤️
2026-03-12 02:00:00,4.7,1.5,4,2,0.0,🌤️
2026-03-12 03:00:00,4.1,1.5,360,1,0.0,🌤️
2026-03-12 04:00:00,3.1,1.5,4,1,0.0,🌤️
