time,temperature_2m,wind_speed_10m,wind_direction_10m,weather_code,precipitation,weather_icon
2026-03-10 00:00:00,17.2,8.6,9,3,0.0,🌤️
2026-03-10 01:00:00,17.2,8.35,11,3,0.0,🌤️
2026-03-10 02:00:00,17.2,7.78,18,3,0.0,🌤️
2026-03-10 03:00:00,17.5,7.84,17,3,0.0,🌤️
2026-03-10 04:00:00,17.4,8.32,16,3,0.0,🌤️
2026-03-10 05:00:00,17.3,8.52,16,3,0.0,🌤️
2026-03-10 06:00:00,17.0,8.66,14,3,0.0,🌤️
2026-03-10 07:00:00,16.7,8.08,15,3,0.0,🌤️
2026-03-10 08:00:00,16.7,7.34,17,3,0.0,🌤️
2026-03-10 09:00:00,17.0,7.34,17,3,0.0,🌤️
2026-03-10 10:00:00,16.9,7.28,21,3,0.0,🌤️
2026-03-10 11:00:00,17.0,7.39,23,3,0.0,🌤️
2026-03-10 12:00:00,17.1,7.47,28,3,0.0,🌤️
2026-03-10 13:00:00,17.1,7.05,32,3,0.0,🌤️
2026-03-10 14:00:00,17.1,6.52,32,2,0.0,🌤️
2026-03-10 15:00:00,17.4,6.22,28,3,0.0,🌤️
2026-03-10 16:00:00,17.3,6.09,30,3,0.0,🌤️
2026-03-10 17:00:00,17.2,5.77,34,2,0.0,🌤️
2026-03-10 18:00:00,17.2,5.42,38,2,0.0,🌤️
2026-03-10 19:00:00,17.4,4.81,43,2,0.0,🌤️
2026-03-10 20:00:00,17.4,4.56,52,2,0.0,🌤️
2026-03-10 21:00:00,17.1,4.75,60,2,0.0,🌤️
2026-03-10 22:00:00,17.1,4.12,67,3,0.0,🌤️
2026-03-10 23:00:00,17.3,3.51,70,3,0.0,🌤️
2026-03-11 00:00:00,17.3,3.76,73,3,0.0,🌤️
2026-03-11 01:00:00,17.3,3.54,74,2,0.0,🌤️
2026-03-11 02:00:00,17.4,3.27,67,1,0.0,🌤️
2026-03-11 03:00:00,17.4,3.83,57,2,0.0,🌤️
2026-03-11 04:00:00,16.8,4.49,58,2,0.0,🌤️
2026-03-11 05:00:00,17.0,4.25,63,1,0.0,🌤️
2026-03-11 06:00:00,17.2,3.83,70,1,0.0,🌤️
2026-03-11 07:00:00,17.4,3.24,81,1,0.0,🌤️
2026-03-11 08:00:00,17.7,3.01,84,0,0.0,☀️
2026-03-11 09:00:00,17.9,2.72,84,0,0.0,☀️
2026-03-11 10:00:00,18.2,2.67,77,0,0.0,☀️
2026-03-11 11:00:00,18.5,2.51,67,0,0.0,☀️
2026-03-11 12:00:00,18.7,2.37,62,0,0.0,☀️
2026-03-11 13:00:00,18.8,2.2,60,0,0.0,☀️
2026-03-11 14:00:00,19.0,2.19,47,1,0.0,🌤️
2026-03-11 15:00:00,19.1,2.39,33,0,0.0,☀️
2026-03-11 16:00:00,19.1,2.62,18,0,0.0,☀️
2026-03-11 17:00:00,18.9,2.95,24,0,0.0,☀️
2026-03-11 18:00:00,18.7,3.28,31,2,0.0,🌤️
2026-03-11 19:00:00,18.7,3.05,49,2,0.0,🌤️
2026-03-11 20:00:00,18.7,3.26,79,2,0.0,🌤️
2026-03-11 21:00:00,18.2,3.35,100,1,0.0,🌤️
2026-03-11 22:00:00,18.4,3.23,106,1,0.0,🌤️
2026-03-11 23:00:00,18.1,3.37,102,2,0.0,🌤️
2026-03-12 00:00:00,17.8,3.18,103,1,0.0,🌤️
2026-03-12 01:00:00,17.9,2.77,103,2,0.0,🌤️
2026-03-12 02:00:00,17.9,2.42,97,2,0.0,🌤️
2026-03-12 03:00:00,17.7,2.33,100,2,0.0,🌤️
2026-03-12 04:00:00,17.6,1.99,108,2,0.0,🌤️
2026-03-12 05:00:00,17.6,1.71,111,2,0.0,🌤️
2026-03-12 06:00:00,17.5,1.44,124,2,0.0,🌤️
2026-03-12 07:00:00,17.3,0.85,135,2,0.0,🌤️
2026-03-12 08:00:00,17.3,0.67,117,2,0.0,🌤️
2026-03-12 09:00:00,17.4,1.06,131,2,0.0,🌤️
2026-03-12 10:00:00,17.5,1.0,174,2,0.0,🌤️
2026-03-12 11:00:00,17.3,1.51,262,80,0.7,🌦️
2026-03-12 12:00:00,17.1,2.46,297,80,2.0,🌦️
2026-03-12 13:00:00,17.0,3.2,309,80,1.7,🌦️
2026-03-12 14:00:00,16.9,5.11,329,80,1.7,🌦️
2026-03-12 15:00:00,16.4,7.15,342,80,0.9,🌦️
2026-03-12 16:00:00,16.6,8.39,352,3,0.2,🌤️
2026-03-12 17:00:00,16.8,8.52,356,80,0.2,🌦️
2026-03-12 18:00:00,16.1,9.31,357,3,0.1,🌤️
2026-03-12 19:00:00,16.0,8.41,357,80,0.6,🌦️
2026-03-12 20:00:00,15.8,8.4,359,3,0.1,🌤️
2026-03-12 21:00:00,15.9,8.8,1,2,0.1,🌤️
2026-03-12 22:00:00,15.6,9.22,4,3,0.1,🌤️
2026-03-12 23:00:00,15.5,9.21,3,2,0.1,🌤️
2026-03-13 00:00:00,15.1,9.52,4,80,0.2,🌦️
2026-03-13 01:00:00,15.2,9.74,5,80,0.3,🌦️
2026-03-13 02:00:00,15.3,10.16,6,2,0.1,🌤️
2026-03-13 03:00:00,15.1,10.14,5,3,0.1,🌤️
2026-03-13 04:00:00,15.3,9.65,6,2,0.0,🌤️
