time,temperature_2m,wind_speed_10m,wind_direction_10m,weather_code,precipitation,weather_icon
2026-03-10 00:00:00,-1.1,1.14,75,0,0.0,☀️
2026-03-10 01:00:00,-1.2,1.14,75,0,0.0,☀️
2026-03-10 02:00:00,-1.5,1.12,63,0,0.0,☀️
2026-03-10 03:00:00,-1.5,1.25,29,1,0.0,🌤️
2026-03-10 04:00:00,-1.8,1.22,55,1,0.0,🌤️
2026-03-10 05:00:00,-2.0,1.26,72,1,0.0,🌤️
2026-03-10 06:00:00,-1.7,1.22,55,1,0.0,🌤️
2026-03-10 07:00:00,-1.2,1.2,42,1,0.0,🌤️
2026-03-10 08:00:00,0.2,1.81,6,1,0.0,🌤️
2026-03-10 09:00:00,0.8,2.71,356,1,0.0,🌤️
2026-03-10 10:00:00,1.9,2.62,353,0,0.0,☀️
2026-03-10 11:00:00,3.0,2.8,358,0,0.0,☀️
2026-03-10 12:00:00,4.1,3.06,349,0,0.0,☀️
2026-03-10 13:00:00,4.5,3.16,349,0,0.0,☀️
2026-03-10 14:00:00,4.6,2.83,352,0,0.0,☀️
2026-03-10 15:00:00,4.7,2.52,353,0,0.0,☀️
2026-03-10 16:00:00,4.4,1.75,336,1,0.0,🌤️
2026-03-10 17:00:00,3.5,1.65,346,1,0.0,🌤️
2026-03-10 18:00:00,1.8,1.2,360,0,0.0,☀️
2026-03-10 19:00:00,0.3,1.6,356,0,0.0,☀️
2026-03-10 20:00:00,-1.0,1.63,11,0,0.0,☀️
2026-03-10 21:00:00,-1.9,1.44,34,0,0.0,☀️
2026-03-10 22:00:00,-2.7,1.7,45,0,0.0,☀️
2026-03-10 23:00:00,-3.0,1.56,50,0,0.0,☀️
2026-03-11 00:00:00,-3.4,1.53,58,0,0.0,☀️
2026-03-11 01:00:00,-3.8,1.52,67,0,0.0,☀️
2026-03-11 02:00:00,-4.0,1.39,69,0,0.0,☀️
2026-03-11 03:00:00,-4.3,1.41,82,0,0.0,☀️
2026-03-11 04:00:00,-4.5,1.51,82,0,0.0,☀️
2026-03-11 05:00:00,-4.6,1.6,86,0,0.0,☀️
2026-03-11 06:00:00,-3.9,1.3,86,1,0.0,🌤️
2026-03-11 07:00:00,-3.0,1.0,90,1,0.0,🌤️
2026-03-11 08:00:00,-1.0,0.42,45,1,0.0,🌤️
2026-03-11 09:00:00,0.9,0.5,233,0,0.0,☀️
2026-03-11 10:00:00,2.4,1.41,225,0,0.0,☀️
2026-03-11 11:00:00,3.6,1.8,214,1,0.0,🌤️
2026-03-11 12:00:00,4.2,2.22,188,1,0.0,🌤️
2026-03-11 13:00:00,4.4,2.51,175,0,0.0,☀️
2026-03-11 14:00:00,4.5,2.52,173,1,0.0,🌤️
2026-03-11 15:00:00,4.4,2.52,173,1,0.0,🌤️
2026-03-11 16:00:00,3.6,2.61,176,1,0.0,🌤️
2026-03-11 17:00:00,2.4,2.63,171,1,0.0,🌤️
2026-03-11 18:00:00,1.3,2.18,164,2,0.0,🌤️
2026-03-11 19:00:00,1.0,1.57,153,51,0.1,☔
2026-03-11 20:00:00,0.6,0.3,180,51,0.3,☔
2026-03-11 21:00:00,-0.3,1.04,17,75,1.8,❄️
2026-03-11 22:00:00,-0.4,1.36,54,73,0.9,❄️
2026-03-11 23:00:00,-0.3,1.13,45,71,0.1,❄️
2026-03-12 00:00:00,-0.4,1.06,41,2,0.0,🌤️
2026-03-12 01:00:00,-0.6,0.94,32,2,0.0,🌤️
2026-03-12 02:00:00,-0.8,1.08,34,2,0.0,🌤️
2026-03-12 03:00:00,-1.1,1.0,37,2,0.0,🌤️
2026-03-12 04:00:00,-1.9,0.92,41,1,0.0,🌤️
2026-03-12 05:00:00,-2.5,1.08,34,0,0.0,☀️
2026-03-12 06:00:00,-3.0,1.06,41,0,0.0,☀️
2026-03-12 07:00:00,-2.4,0.92,49,0,0.0,☀️
2026-03-12 08:00:00,-0.2,0.81,7,0,0.0,☀️
2026-03-12 09:00:00,1.6,0.85,339,0,0.0,☀️
