time,temperature_2m,wind_speed_10m,wind_direction_10m,weather_code,precipitation,weather_icon
2026-03-10 00:00:00,11.6,8.18,333,1,0.0,🌤️
2026-03-10 01:00:00,11.3,7.75,343,1,0.0,🌤️
2026-03-10 02:00:00,11.1,7.59,347,1,0.0,🌤️
2026-03-10 03:00:00,11.3,8.85,346,0,0.0,☀️
2026-03-10 04:00:00,11.0,8.92,342,0,0.0,☀️
2026-03-10 05:00:00,10.7,8.19,352,0,0.0,☀️
2026-03-10 06:00:00,10.4,7.82,356,0,0.0,☀️
2026-03-10 07:00:00,10.2,7.2,358,0,0.0,☀️
2026-03-10 08:00:00,10.3,6.6,1,0,0.0,☀️
2026-03-10 09:00:00,10.3,5.82,5,0,0.0,☀️
2026-03-10 10:00:00,10.6,4.08,17,0,0.0,☀️
2026-03-10 11:00:00,11.2,2.47,21,0,0.0,☀️
2026-03-10 12:00:00,11.3,2.4,358,0,0.0,☀️
2026-03-10 13:00:00,11.6,0.32,342,0,0.0,☀️
2026-03-10 14:00:00,11.9,0.92,167,0,0.0,☀️
2026-03-10 15:00:00,11.9,1.1,180,0,0.0,☀️
2026-03-10 16:00:00,12.1,1.49,200,0,0.0,☀️
2026-03-10 17:00:00,12.3,1.99,198,0,0.0,☀️
2026-03-10 18:00:00,12.3,1.34,207,0,0.0,☀️
2026-03-10 19:00:00,12.3,1.7,177,0,0.0,☀️
2026-03-10 20:00:00,12.4,2.4,163,0,0.0,☀️
2026-03-10 21:00:00,12.6,2.91,153,0,0.0,☀️
2026-03-10 22:00:00,12.7,2.88,146,0,0.0,☀️
2026-03-10 23:00:00,12.8,2.91,153,1,0.0,🌤️
2026-03-11 00:00:00,13.0,3.24,171,1,0.0,🌤️
2026-03-11 01:00:00,13.1,3.21,185,1,0.0,🌤️
2026-03-11 02:00:00,13.2,2.75,190,1,0.0,🌤️
2026-03-11 03:00:00,13.0,2.1,177,1,0.0,🌤️
2026-03-11 04:00:00,13.4,1.0,174,1,0.0,🌤️
2026-03-11 05:00:00,13.4,0.94,238,1,0.0,🌤️
2026-03-11 06:00:00,12.8,2.31,342,1,0.0,🌤️
2026-03-11 07:00:00,12.7,3.61,357,2,0.0,🌤️
2026-03-11 08:00:00,12.5,4.41,4,1,0.0,🌤️
2026-03-11 09:00:00,12.9,4.51,4,2,0.0,🌤️
2026-03-11 10:00:00,13.0,4.7,2,2,0.0,🌤️
2026-03-11 11:00:00,13.3,4.5,360,2,0.0,🌤️
2026-03-11 12:00:00,13.6,3.81,355,1,0.0,🌤️
2026-03-11 13:00:00,14.0,3.01,356,1,0.0,🌤️
2026-03-11 14:00:00,14.3,1.9,342,1,0.0,🌤️
2026-03-11 15:00:00,14.5,1.41,315,1,0.0,🌤️
2026-03-11 16:00:00,14.7,1.44,304,0,0.0,☀️
2026-03-11 17:00:00,14.7,1.58,288,0,0.0,☀️
2026-03-11 18:00:00,14.7,1.39,291,0,0.0,☀️
2026-03-11 19:00:00,14.6,1.88,295,0,0.0,☀️
2026-03-11 20:00:00,14.3,3.89,318,0,0.0,☀️
2026-03-11 21:00:00,13.8,3.96,339,0,0.0,☀️
2026-03-11 22:00:00,13.5,3.92,354,0,0.0,☀️
2026-03-11 23:00:00,13.4,4.14,352,0,0.0,☀️
2026-03-12 00:00:00,13.2,3.61,346,0,0.0,☀️
2026-03-12 01:00:00,13.2,3.49,333,0,0.0,☀️
2026-03-12 02:00:00,13.1,3.5,329,0,0.0,☀️
2026-03-12 03:00:00,12.8,3.85,332,0,0.0,☀️
2026-03-12 04:00:00,12.4,3.31,355,1,0.0,🌤️
2026-03-12 05:00:00,12.5,3.92,341,1,0.0,🌤️
2026-03-12 06:00:00,12.2,4.39,348,1,0.0,🌤️
2026-03-12 07:00:00,12.2,5.21,357,1,0.0,🌤️
2026-03-12 08:00:00,12.4,5.41,4,1,0.0,🌤️
2026-03-12 09:00:00,12.9,3.88,35,1,0.0,🌤️
2026-03-12 10:00:00,14.0,2.09,73,1,0.0,🌤️
2026-03-12 11:00:00,14.5,3.73,70,2,0.0,🌤️
2026-03-12 12:00:00,14.3,2.28,331,51,0.1,☔
2026-03-12 13:00:00,13.6,3.75,314,61,1.9,☔
2026-03-12 14:00:00,13.5,5.12,321,51,0.4,☔
