time,temperature_2m,wind_speed_10m,wind_direction_10m,weather_code,precipitation,weather_icon
2026-03-08 00:00:00,6.0,3.37,348,2,0.0,🌤️
2026-03-08 01:00:00,5.5,3.45,338,1,0.0,🌤️
2026-03-08 02:00:00,5.2,3.64,328,2,0.0,🌤️
2026-03-08 03:00:00,5.4,2.8,325,2,0.0,🌤️
2026-03-08 04:00:00,4.6,3.23,338,3,0.0,🌤️
2026-03-08 05:00:00,3.9,4.02,333,0,0.0,☀️
2026-03-08 06:00:00,3.8,3.26,333,0,0.0,☀️
2026-03-08 07:00:00,3.6,3.4,332,0,0.0,☀️
2026-03-08 08:00:00,4.4,3.67,331,0,0.0,☀️
2026-03-08 09:00:00,5.6,3.62,332,0,0.0,☀️
2026-03-08 10:00:00,6.9,3.4,332,0,0.0,☀️
2026-03-08 11:00:00,8.3,3.35,333,0,0.0,☀️
2026-03-08 12:00:00,9.3,3.53,335,0,0.0,☀️
2026-03-08 13:00:00,9.6,3.38,341,0,0.0,☀️
2026-03-08 14:00:00,9.9,2.98,346,0,0.0,☀️
2026-03-08 15:00:00,10.0,2.38,338,0,0.0,☀️
2026-03-08 16:00:00,9.9,1.89,328,0,0.0,☀️
2026-03-08 17:00:00,9.3,1.72,324,0,0.0,☀️
2026-03-08 18:00:00,8.1,1.89,328,0,0.0,☀️
2026-03-08 19:00:00,6.9,2.33,329,0,0.0,☀️
2026-03-08 20:00:00,5.7,2.33,335,0,0.0,☀️
2026-03-08 21:00:00,4.9,2.16,347,0,0.0,☀️
2026-03-08 22:00:00,4.4,1.94,348,0,0.0,☀️
2026-03-08 23:00:00,3.9,1.58,342,1,0.0,🌤️
2026-03-09 00:00:00,3.8,1.46,344,1,0.0,🌤️
2026-03-09 01:00:00,3.6,1.55,345,2,0.0,🌤️
2026-03-09 02:00:00,3.4,1.68,343,1,0.0,🌤️
2026-03-09 03:00:00,3.2,1.75,347,1,0.0,🌤️
2026-03-09 04:00:00,3.0,1.81,354,1,0.0,🌤️
2026-03-09 05:00:00,2.8,1.6,356,1,0.0,🌤️
2026-03-09 06:00:00,2.5,1.6,4,1,0.0,🌤️
2026-03-09 07:00:00,2.6,1.8,357,1,0.0,🌤️
2026-03-09 08:00:00,3.4,1.94,348,1,0.0,🌤️
2026-03-09 09:00:00,4.6,1.61,353,1,0.0,🌤️
2026-03-09 10:00:00,5.9,1.3,4,1,0.0,🌤️
2026-03-09 11:00:00,7.2,1.33,13,1,0.0,🌤️
2026-03-09 12:00:00,8.5,1.12,27,0,0.0,☀️
2026-03-09 13:00:00,9.5,0.76,67,0,0.0,☀️
2026-03-09 14:00:00,10.2,1.14,128,0,0.0,☀️
2026-03-09 15:00:00,10.5,1.42,141,0,0.0,☀️
2026-03-09 16:00:00,10.3,1.34,153,0,0.0,☀️
2026-03-09 17:00:00,9.9,1.1,180,1,0.0,🌤️
2026-03-09 18:00:00,9.2,0.91,174,1,0.0,🌤️
2026-03-09 19:00:00,8.6,0.85,159,2,0.0,🌤️
2026-03-09 20:00:00,8.2,0.51,79,3,0.0,🌤️
2026-03-09 21:00:00,8.1,0.85,45,2,0.0,🌤️
2026-03-09 22:00:00,6.4,2.22,324,1,0.0,🌤️
2026-03-09 23:00:00,6.0,2.47,339,2,0.0,🌤️
2026-03-10 00:00:00,5.4,2.22,352,2,0.0,🌤️
2026-03-10 01:00:00,4.8,2.01,6,2,0.0,🌤️
2026-03-10 02:00:00,4.0,1.65,14,51,0.1,☔
2026-03-10 03:00:00,3.3,1.48,28,51,0.3,☔
2026-03-10 04:00:00,3.1,1.21,24,51,0.1,☔
2026-03-10 05:00:00,2.8,1.04,17,1,0.0,🌤️
2026-03-10 06:00:00,2.7,1.12,10,1,0.0,🌤️
2026-03-10 07:00:00,3.1,1.6,356,1,0.0,🌤️
2026-03-10 08:00:00,4.1,2.02,351,1,0.0,🌤️
2026-03-10 09:00:00,5.4,2.26,347,1,0.0,🌤️
2026-03-10 10:00:00,6.8,2.42,353,0,0.0,☀️
2026-03-10 11:00:00,7.9,2.3,360,0,0.0,☀️
2026-03-10 12:00:00,9.0,2.6,2,0,0.0,☀️
2026-03-10 13:00:00,9.9,2.63,351,0,0.0,☀️
2026-03-10 14:00:00,10.5,3.1,345,0,0.0,☀️
2026-03-10 15:00:00,10.4,3.28,348,0,0.0,☀️
2026-03-10 16:00:00,9.6,3.2,346,0,0.0,☀️
2026-03-10 17:00:00,8.5,3.04,343,0,0.0,☀️
2026-03-10 18:00:00,7.3,2.4,343,0,0.0,☀️
2026-03-10 19:00:00,6.3,2.16,347,0,0.0,☀️
2026-03-10 20:00:00,5.4,1.9,342,0,0.0,☀️
2026-03-10 21:00:00,4.7,1.65,346,0,0.0,☀️
