time,temperature_2m,wind_speed_10m,wind_direction_10m,weather_code,precipitation,weather_icon
2026-03-10 00:00:00,8.1,5.78,307,0,0.0,☀️
2026-03-10 01:00:00,7.8,5.62,309,0,0.0,☀️
2026-03-10 02:00:00,7.5,6.52,306,0,0.0,☀️
2026-03-10 03:00:00,7.7,8.5,311,0,0.0,☀️
2026-03-10 04:00:00,7.5,6.8,319,1,0.0,🌤️
2026-03-10 05:00:00,7.5,5.54,309,1,0.0,🌤️
2026-03-10 06:00:00,7.9,6.6,305,0,0.0,☀️
2026-03-10 07:00:00,7.4,7.34,294,0,0.0,☀️
2026-03-10 08:00:00,7.4,7.43,294,0,0.0,☀️
2026-03-10 09:00:00,8.2,7.48,293,0,0.0,☀️
2026-03-10 10:00:00,9.0,5.66,291,0,0.0,☀️
2026-03-10 11:00:00,10.0,3.11,312,0,0.0,☀️
2026-03-10 12:00:00,10.5,1.7,45,1,0.0,🌤️
2026-03-10 13:00:00,10.6,2.84,100,1,0.0,🌤️
2026-03-10 14:00:00,10.9,5.15,119,1,0.0,🌤️
2026-03-10 15:00:00,11.6,2.2,183,0,0.0,☀️
2026-03-10 16:00:00,11.9,0.78,220,0,0.0,☀️
2026-03-10 17:00:00,11.8,2.13,41,0,0.0,☀️
2026-03-10 18:00:00,10.4,7.12,61,0,0.0,☀️
2026-03-10 19:00:00,10.2,6.83,85,0,0.0,☀️
2026-03-10 20:00:00,10.0,6.51,101,1,0.0,🌤️
2026-03-10 21:00:00,10.1,6.36,109,2,0.0,🌤️
2026-03-10 22:00:00,10.2,7.15,110,1,0.0,🌤️
2026-03-10 23:00:00,9.9,8.44,104,2,0.0,🌤️
2026-03-11 00:00:00,9.3,8.72,94,2,0.0,🌤️
2026-03-11 01:00:00,9.0,8.1,89,2,0.0,🌤️
2026-03-11 02:00:00,8.8,7.63,85,2,0.0,🌤️
2026-03-11 03:00:00,8.5,6.53,85,1,0.0,🌤️
2026-03-11 04:00:00,8.4,4.56,75,2,0.0,🌤️
2026-03-11 05:00:00,8.2,4.46,48,1,0.0,🌤️
2026-03-11 06:00:00,8.1,4.61,41,2,0.0,🌤️
2026-03-11 07:00:00,8.1,4.31,44,1,0.0,🌤️
2026-03-11 08:00:00,8.2,4.28,53,1,0.0,🌤️
2026-03-11 09:00:00,8.1,4.0,53,2,0.0,🌤️
2026-03-11 10:00:00,8.0,3.47,44,1,0.0,🌤️
2026-03-11 11:00:00,8.0,2.33,43,1,0.0,🌤️
2026-03-11 12:00:00,8.1,0.89,63,1,0.0,🌤️
2026-03-11 13:00:00,8.3,1.22,171,1,0.0,🌤️
2026-03-11 14:00:00,8.7,2.3,178,0,0.0,☀️
2026-03-11 15:00:00,8.9,2.71,176,0,0.0,☀️
2026-03-11 16:00:00,9.0,2.82,197,0,0.0,☀️
2026-03-11 17:00:00,9.2,3.12,220,0,0.0,☀️
2026-03-11 18:00:00,9.2,3.32,226,0,0.0,☀️
2026-03-11 19:00:00,9.4,3.11,222,0,0.0,☀️
2026-03-11 20:00:00,9.5,2.64,217,0,0.0,☀️
2026-03-11 21:00:00,9.6,2.22,216,0,0.0,☀️
2026-03-11 22:00:00,9.7,2.05,223,0,0.0,☀️
2026-03-11 23:00:00,9.7,1.84,225,0,0.0,☀️
2026-03-12 00:00:00,9.3,2.55,318,0,0.0,☀️
2026-03-12 01:00:00,8.8,4.85,14,1,0.0,🌤️
2026-03-12 02:00:00,9.1,5.24,24,2,0.0,🌤️
2026-03-12 03:00:00,9.0,6.33,31,2,0.0,🌤️
2026-03-12 04:00:00,8.9,6.76,38,2,0.0,🌤️
2026-03-12 05:00:00,9.0,6.74,41,2,0.0,🌤️
2026-03-12 06:00:00,8.9,6.94,43,1,0.0,🌤️
2026-03-12 07:00:00,8.8,6.59,42,2,0.0,🌤️
2026-03-12 08:00:00,8.9,6.66,41,2,0.0,🌤️
2026-03-12 09:00:00,8.9,6.44,42,2,0.0,🌤️
2026-03-12 10:00:00,9.2,5.81,48,1,0.0,🌤️
2026-03-12 11:00:00,9.4,4.3,59,1,0.0,🌤️
2026-03-12 12:00:00,9.5,2.77,77,1,0.0,🌤️
2026-03-12 13:00:00,9.6,2.47,122,1,0.0,🌤️
2026-03-12 14:00:00,9.9,3.39,135,1,0.0,🌤️
2026-03-12 15:00:00,10.1,4.46,132,1,0.0,🌤️
2026-03-12 16:00:00,10.3,4.69,140,1,0.0,🌤️
2026-03-12 17:00:00,10.5,5.09,137,1,0.0,🌤️
2026-03-12 18:00:00,10.6,4.81,133,1,0.0,🌤️
2026-03-12 19:00:00,10.7,4.12,129,1,0.0,🌤️
2026-03-12 20:00:00,10.7,4.12,113,1,0.0,🌤️
2026-03-12 21:00:00,10.6,4.52,95,1,0.0,🌤️
2026-03-12 22:00:00,10.8,4.61,60,1,0.0,🌤️
2026-03-12 23:00:00,10.8,6.65,46,2,0.0,🌤️
2026-03-13 00:00:00,10.1,9.12,46,2,0.0,🌤️
2026-03-13 01:00:00,9.9,9.85,41,2,0.0,🌤️
2026-03-13 02:00:00,9.6,10.21,49,51,0.2,☔
2026-03-13 03:00:00,9.3,9.62,65,53,0.8,☔
2026-03-13 04:00:00,9.1,9.08,65,51,0.4,☔
2026-03-13 05:00:00,8.6,9.84,43,53,0.6,☔
2026-03-13 06:00:00,8.1,11.71,31,51,0.4,☔
2026-03-13 07:00:00,7.9,12.14,30,53,0.9,☔
2026-03-13 08:00:00,8.0,12.04,29,55,1.0,☔
2026-03-13 09:00:00,7.9,11.21,33,55,1.2,☔
2026-03-13 10:00:00,7.8,11.03,31,55,1.2,☔
2026-03-13 11:00:00,7.5,10.62,30,61,2.1,☔
2026-03-13 12:00:00,7.3,10.51,28,63,2.7,☔
2026-03-13 13:00:00,7.6,9.22,36,63,2.47,☔
2026-03-13 14:00:00,8.0,7.87,41,63,1.3,☔
2026-03-13 15:00:00,8.5,6.59,55,61,0.6,☔
2026-03-13 16:00:00,8.8,5.66,69,3,0.0,🌤️
2026-03-13 17:00:00,8.6,5.8,58,3,0.0,🌤️
2026-03-13 18:00:00,8.7,5.02,59,3,0.0,🌤️
2026-03-13 19:00:00,9.1,4.63,57,3,0.0,🌤️
2026-03-13 20:00:00,9.1,4.25,49,3,0.0,🌤️
2026-03-13 21:00:00,9.1,3.54,45,3,0.0,🌤️
2026-03-13 22:00:00,8.9,2.64,29,3,0.0,🌤️
2026-03-13 23:00:00,8.6,2.1,357,3,0.0,🌤️
2026-03-14 00:00:00,8.3,2.28,331,3,0.0,🌤️
2026-03-14 01:00:00,8.1,2.42,322,2,0.0,🌤️
2026-03-14 02:00:00,8.0,2.42,322,2,0.0,🌤️
2026-03-14 03:00:00,7.9,2.56,321,2,0.0,🌤️
2026-03-14 04:00:00,7.5,2.98,320,1,0.0,🌤️
2026-03-14 05:00:00,7.1,3.41,320,1,0.0,🌤️
2026-03-14 06:00:00,7.0,3.75,318,1,0.0,🌤️
2026-03-14 07:00:00,7.3,3.82,315,0,0.0,☀️
2026-03-14 08:00:00,7.9,3.83,311,0,0.0,☀️
2026-03-14 09:00:00,8.7,3.74,304,0,0.0,☀️
2026-03-14 10:00:00,9.8,3.62,294,0,0.0,☀️
2026-03-14 11:00:00,11.2,3.57,281,0,0.0,☀️
2026-03-14 12:00:00,12.3,3.51,267,0,0.0,☀️
2026-03-14 13:00:00,13.0,3.36,247,0,0.0,☀️
2026-03-14 14:00:00,13.5,3.47,226,0,0.0,☀️
2026-03-14 15:00:00,13.9,3.72,216,0,0.0,☀️
2026-03-14 16:00:00,14.1,3.75,226,0,0.0,☀️
2026-03-14 17:00:00,14.1,3.85,245,0,0.0,☀️
2026-03-14 18:00:00,13.8,4.06,260,0,0.0,☀️
2026-03-14 19:00:00,13.1,3.8,268,0,0.0,☀️
2026-03-14 20:00:00,12.0,3.32,277,0,0.0,☀️
2026-03-14 21:00:00,11.1,2.82,287,0,0.0,☀️
2026-03-14 22:00:00,10.5,2.15,298,0,0.0,☀️
2026-03-14 23:00:00,10.1,1.49,312,0,0.0,☀️
2026-03-15 00:00:00,9.8,0.98,336,0,0.0,☀️
2026-03-15 01:00:00,9.8,0.61,351,2,0.0,🌤️
2026-03-15 02:00:00,10.0,0.22,27,2,0.0,🌤️
2026-03-15 03:00:00,10.1,0.3,90,2,0.0,🌤️
2026-03-15 04:00:00,10.2,0.61,81,3,0.1,🌤️
2026-03-15 05:00:00,10.4,0.95,72,3,0.1,🌤️
2026-03-15 06:00:00,10.4,1.21,66,3,0.1,🌤️
2026-03-15 07:00:00,10.4,1.66,57,2,0.0,🌤️
2026-03-15 08:00:00,10.3,2.06,51,2,0.0,🌤️
2026-03-15 09:00:00,10.3,2.0,53,2,0.0,🌤️
2026-03-15 10:00:00,10.8,1.14,75,1,0.0,🌤️
2026-03-15 11:00:00,11.4,1.14,165,1,0.0,🌤️
