time,temperature_2m,wind_speed_10m,wind_direction_10m,weather_code,precipitation,weather_icon
2026-03-10 00:00:00,7.8,1.84,331,1,0.0,🌤️
2026-03-10 01:00:00,6.6,1.3,4,0,0.0,☀️
2026-03-10 02:00:00,6.3,1.1,85,0,0.0,☀️
2026-03-10 03:00:00,5.7,1.84,319,0,0.0,☀️
2026-03-10 04:00:00,6.4,0.41,14,0,0.0,☀️
2026-03-10 05:00:00,5.9,0.81,263,0,0.0,☀️
2026-03-10 06:00:00,4.0,2.12,315,0,0.0,☀️
2026-03-10 07:00:00,3.8,1.98,315,0,0.0,☀️
2026-03-10 08:00:00,6.3,1.22,325,0,0.0,☀️
2026-03-10 09:00:00,8.7,0.95,72,0,0.0,☀️
2026-03-10 10:00:00,9.9,1.8,71,0,0.0,☀️
2026-03-10 11:00:00,10.9,0.85,45,0,0.0,☀️
2026-03-10 12:00:00,11.4,1.77,227,0,0.0,☀️
2026-03-10 13:00:00,11.8,2.72,253,0,0.0,☀️
2026-03-10 14:00:00,12.2,2.55,259,0,0.0,☀️
2026-03-10 15:00:00,12.7,2.5,254,0,0.0,☀️
2026-03-10 16:00:00,12.8,2.28,247,0,0.0,☀️
2026-03-10 17:00:00,12.5,2.02,237,0,0.0,☀️
2026-03-10 18:00:00,11.4,1.7,220,0,0.0,☀️
2026-03-10 19:00:00,9.6,1.68,197,0,0.0,☀️
2026-03-10 20:00:00,8.6,1.58,108,1,0.0,🌤️
2026-03-10 21:00:00,8.5,1.28,51,1,0.0,🌤️
2026-03-10 22:00:00,8.1,1.84,49,1,0.0,🌤️
2026-03-10 23:00:00,7.7,1.94,35,0,0.0,☀️
2026-03-11 00:00:00,7.7,1.92,28,0,0.0,☀️
2026-03-11 01:00:00,7.9,1.93,21,1,0.0,🌤️
2026-03-11 02:00:00,8.0,1.8,34,1,0.0,🌤️
2026-03-11 03:00:00,7.6,1.98,49,1,0.0,🌤️
2026-03-11 04:00:00,7.7,1.92,51,1,0.0,🌤️
2026-03-11 05:00:00,7.5,1.86,54,1,0.0,🌤️
2026-03-11 06:00:00,7.2,1.7,45,1,0.0,🌤️
2026-03-11 07:00:00,7.2,1.61,30,0,0.0,☀️
2026-03-11 08:00:00,9.0,1.06,49,1,0.0,🌤️
2026-03-11 09:00:00,11.1,0.92,77,1,0.0,🌤️
2026-03-11 10:00:00,12.2,0.5,180,0,0.0,☀️
2026-03-11 11:00:00,13.2,1.88,245,0,0.0,☀️
2026-03-11 12:00:00,13.9,2.52,263,0,0.0,☀️
2026-03-11 13:00:00,14.2,2.82,264,0,0.0,☀️
2026-03-11 14:00:00,14.6,2.9,268,0,0.0,☀️
2026-03-11 15:00:00,14.6,2.9,272,0,0.0,☀️
2026-03-11 16:00:00,14.5,2.62,277,0,0.0,☀️
2026-03-11 17:00:00,14.0,2.28,285,0,0.0,☀️
2026-03-11 18:00:00,12.9,2.06,299,0,0.0,☀️
2026-03-11 19:00:00,11.6,2.08,305,0,0.0,☀️
2026-03-11 20:00:00,10.8,1.86,324,0,0.0,☀️
2026-03-11 21:00:00,9.5,1.1,5,0,0.0,☀️
